funcion,variante,F,CR,repeticion,mejor_fitness
ackley,DE/current-to-best/1,0.75,0.6,10,3.1086244689504383e-15
griewank,DE/rand/1,0.9,0.5,1,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,2,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,3,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,4,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,5,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,6,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,7,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,8,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,9,0.002466168016010961
griewank,DE/rand/1,0.9,0.5,10,0.002466168016010961
griewank,DE/rand/1,0.8,0.7,1,0.14684891841845082
griewank,DE/rand/1,0.8,0.7,2,0.09221350079690982
griewank,DE/rand/1,0.8,0.7,3,0.002466168016011183
griewank,DE/rand/1,0.8,0.7,4,0.1487447807444694
griewank,DE/rand/1,0.8,0.7,5,0.1523171635899706
griewank,DE/rand/1,0.8,0.7,6,0.14331826548571525
griewank,DE/rand/1,0.8,0.7,7,0.175188836170439
griewank,DE/rand/1,0.8,0.7,8,0.15531675107015053
griewank,DE/rand/1,0.8,0.7,9,0.08716763885741752
griewank,DE/rand/1,0.8,0.7,10,0.1648025916491921
griewank,DE/rand/1,0.75,0.6,1,0.002466168016010961
griewank,DE/rand/1,0.75,0.6,2,0.002466168016010961
griewank,DE/rand/1,0.75,0.6,3,0.002466168016010961
griewank,DE/rand/1,0.75,0.6,4,0.002466168016010961
griewank,DE/rand/1,0.75,0.6,5,0.002466168016010961
griewank,DE/rand/1,0.75,0.6,6,0.002466168016010961
griewank,DE/rand/1,0.75,0.6,7,0.08841685843586522
griewank,DE/rand/1,0.75,0.6,8,0.002466168016010961
griewank,DE/rand/1,0.75,0.6,9,0.002466168016010961
griewank,DE/rand/1,0.75,0.6,10,0.002466168016010961
griewank,DE/rand/2,0.9,0.5,1,0.08526345900548005
griewank,DE/rand/2,0.9,0.5,2,0.082246640658456
griewank,DE/rand/2,0.9,0.5,3,0.13720369998730586
griewank,DE/rand/2,0.9,0.5,4,0.10859087149775448
griewank,DE/rand/2,0.9,0.5,5,0.07540806168600134
griewank,DE/rand/2,0.9,0.5,6,0.11395241715644455
griewank,DE/rand/2,0.9,0.5,7,0.09972077202910501
griewank,DE/rand/2,0.9,0.5,8,0.11528179766381264
griewank,DE/rand/2,0.9,0.5,9,0.09278391143609166
griewank,DE/rand/2,0.9,0.5,10,0.0902547863774178
griewank,DE/rand/2,0.8,0.7,1,0.3441955540175182
griewank,DE/rand/2,0.8,0.7,2,0.4515411193569434
griewank,DE/rand/2,0.8,0.7,3,0.40165098767226215
griewank,DE/rand/2,0.8,0.7,4,0.3769072574518729
griewank,DE/rand/2,0.8,0.7,5,0.31604881440650145
griewank,DE/rand/2,0.8,0.7,6,0.366675893483249
griewank,DE/rand/2,0.8,0.7,7,0.2619244676380359
griewank,DE/rand/2,0.8,0.7,8,0.4114093855030765
griewank,DE/rand/2,0.8,0.7,9,0.3294964177314855
griewank,DE/rand/2,0.8,0.7,10,0.3557004828136294
griewank,DE/rand/2,0.75,0.6,1,0.25177299547696663
griewank,DE/rand/2,0.75,0.6,2,0.2172256443971753
griewank,DE/rand/2,0.75,0.6,3,0.3353759817169376
griewank,DE/rand/2,0.75,0.6,4,0.2380287393424726
griewank,DE/rand/2,0.75,0.6,5,0.3289537239853555
griewank,DE/rand/2,0.75,0.6,6,0.32025840376141246
griewank,DE/rand/2,0.75,0.6,7,0.2307235062846359
griewank,DE/rand/2,0.75,0.6,8,0.32379842350360744
griewank,DE/rand/2,0.75,0.6,9,0.18967805221765188
griewank,DE/rand/2,0.75,0.6,10,0.24331510655377198
griewank,DE/best/1,0.9,0.5,1,0.002466168016010961
griewank,DE/best/1,0.9,0.5,2,0.0443172572997399
griewank,DE/best/1,0.9,0.5,3,0.009849904527482245
griewank,DE/best/1,0.9,0.5,4,0.012306239744636849
